	W	Reject null hypothesis
Bacteria;PVC;;	36	True
Bacteria;PVC;Planctomycetes;Planctomycetes_X	30	True
Bacteria;Terrabacteria;;	18	False
Eukaryota:mito;TSAR:mito;Stramenopiles:mito;Gyrista:mito	17	False
Eukaryota:plas;TSAR:plas;Alveolata:plas;Dinoflagellata:plas	15	False
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X	13	False
Bacteria;PVC;Kiritimatiellaeota;Kiritimatiellaeota_X	11	False
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito;Streptophyta_X:mito	11	False
Bacteria;;;	10	False
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X	10	False
Bacteria;CCD;Patescibacteria;Patescibacteria_X	9	False
Bacteria;Gracilicutes;Dependentiae;Dependentiae_X	8	False
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas	8	False
Bacteria;CCD;Chloroflexi;Chloroflexi_X	7	False
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas	7	False
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X	6	False
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X	6	False
Bacteria;FCB;Fibrobacteres;Fibrobacteres_X	6	False
Bacteria;Terrabacteria;Armatimonadetes;Armatimonadetes_X	6	False
Bacteria;FCB;Gemmatimonadetes;Gemmatimonadetes_X	6	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas	6	False
Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas;Glaucophyta_X:plas	4	False
Eukaryota;TSAR;Alveolata;Dinoflagellata	4	False
Bacteria;Terrabacteria;Tenericutes;Tenericutes_X	4	False
Bacteria;Gracilicutes;Fusobacteria;Fusobacteria_X	3	False
Eukaryota:plas;Archaeplastida:plas;;	3	False
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X	3	False
;;;	3	False
Bacteria;PVC;Chlamydiae;Chlamydiae_X	3	False
Eukaryota:plas;Excavata:plas;Discoba:plas;Euglenozoa:plas	3	False
Bacteria;Gracilicutes;Spirochaetes;Spirochaetes_X	3	False
Eukaryota;Obazoa;Opisthokonta;Fungi	2	False
Eukaryota;Obazoa;Opisthokonta;Metazoa	2	False
Eukaryota:plas;;;	1	False
Eukaryota;;;	1	False
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X	1	False
Eukaryota:mito;;;	0	False
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X	0	False
Eukaryota;TSAR;Alveolata;Ciliophora	0	False
Bacteria;PANNAM;;	0	False
Bacteria;DST;Deinococcus_Thermus;Deinococcus_Thermus_X	0	False
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas;Streptophyta_X:plas	0	False
