	W	Reject null hypothesis
Bacteria;;	1	False
Bacteria;PANNAM;Acidobacteria	1	False
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas	1	False
Bacteria;Terrabacteria;Tenericutes	1	False
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas	0	False
;;	0	False
Bacteria;Terrabacteria;	0	False
Bacteria;FCB;Gemmatimonadetes	0	False
Eukaryota:plas;;	0	False
Eukaryota:plas;Archaeplastida:plas;	0	False
Bacteria;CCD;Patescibacteria	0	False
Bacteria;Terrabacteria;Armatimonadetes	0	False
Eukaryota:plas;TSAR:plas;Alveolata:plas	0	False
Bacteria;FCB;Fibrobacteres	0	False
Bacteria;PANNAM;Proteobacteria	0	False
Bacteria;Gracilicutes;Dependentiae	0	False
Eukaryota;Obazoa;Opisthokonta	0	False
Bacteria;Gracilicutes;Spirochaetes	0	False
Bacteria;PVC;Chlamydiae	0	False
Eukaryota:plas;Archaeplastida:plas;Glaucophyta:plas	0	False
Bacteria;PVC;	0	False
Eukaryota:mito;TSAR:mito;Stramenopiles:mito	0	False
Eukaryota:mito;;	0	False
Bacteria;Gracilicutes;Fusobacteria	0	False
Eukaryota;;	0	False
Bacteria;Terrabacteria;Firmicutes	0	False
Bacteria;PVC;Planctomycetes	0	False
Eukaryota:plas;Excavata:plas;Discoba:plas	0	False
Bacteria;Terrabacteria;Actinobacteria	0	False
Bacteria;CMS;Cyanobacteria	0	False
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas	0	False
Eukaryota;TSAR;Alveolata	0	False
Bacteria;PVC;Verrucomicrobia	0	False
Bacteria;CCD;Chloroflexi	0	False
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito	0	False
Eukaryota:plas;TSAR:plas;Stramenopiles:plas	0	False
Bacteria;PANNAM;	0	False
Bacteria;DST;Deinococcus_Thermus	0	False
Bacteria;FCB;Bacteroidetes	0	False
Bacteria;PVC;Kiritimatiellaeota	0	False
