# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Bacteria;;;;;	352.0	261.0	288.0	773.0	180.0	984.0	959.0	1397.0	1734.0	1573.0	1439.0
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X;Verrucomicrobiae;Pedosphaerales	326.0	309.0	182.0	309.0	100.0	469.0	187.0	575.0	537.0	426.0	378.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria;Myxococcales	157.0	157.0	67.0	90.0	42.0	98.0	63.0	371.0	315.0	295.0	312.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Deltaproteobacteria;Oligoflexales	265.0	248.0	342.0	155.0	51.0	123.0	56.0	223.0	168.0	169.0	169.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X;Bacteroidia;Flavobacteriales	2441.0	864.0	3118.0	1954.0	974.0	1210.0	1515.0	592.0	648.0	813.0	447.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Trebouxiophyceae:plas;Prasiolales:plas	2.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X;Alphaproteobacteria;Rhizobiales	670.0	797.0	349.0	313.0	582.0	269.0	126.0	421.0	514.0	499.0	401.0
;;;;;	277.0	110.0	252.0	981.0	116.0	1176.0	794.0	460.0	557.0	313.0	418.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas;Chlorophyceae:plas;Sphaeropleales:plas	103.0	111.0	103.0	586.0	703.0	544.0	285.0	2475.0	2043.0	2583.0	1656.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X;Bacilli;Bacillales	497.0	36.0	203.0	1333.0	27.0	3515.0	23.0	43.0	24.0	8.0	33.0
