# Constructed from biom file
#OTU ID	Baao_Agri_563	Baao_Center_563	Baao_Tribu_563	Bato_Center_563	Bato_Resid_563	Bato_Tilap_563	Bato_Tribu_563	Buhi_Center_563	Buhi_Resid_563	Buhi_Tilap_563	Buhi_Tribu_563
Bacteria;;;	352.0	261.0	288.0	773.0	180.0	984.0	959.0	1397.0	1734.0	1573.0	1439.0
Bacteria;PVC;Verrucomicrobia;Verrucomicrobia_X	1834.0	1383.0	1610.0	1513.0	407.0	1534.0	1345.0	4289.0	4041.0	4976.0	2577.0
Bacteria;PANNAM;Proteobacteria;Proteobacteria_X	17449.0	14537.0	15998.0	9850.0	6232.0	8332.0	4715.0	6127.0	8036.0	8432.0	6535.0
Bacteria;FCB;Bacteroidetes;Bacteroidetes_X	7693.0	3949.0	8326.0	6698.0	5170.0	5247.0	4766.0	5757.0	5629.0	6977.0	4596.0
Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyta_X:plas	3328.0	4244.0	6030.0	2978.0	2609.0	2842.0	2106.0	4060.0	3291.0	4169.0	2864.0
;;;	277.0	110.0	252.0	981.0	116.0	1176.0	794.0	460.0	557.0	313.0	418.0
Bacteria;Terrabacteria;Firmicutes;Firmicutes_X	1329.0	295.0	524.0	3436.0	173.0	8373.0	2324.0	3750.0	2740.0	2613.0	3562.0
Bacteria;PVC;Planctomycetes;Planctomycetes_X	225.0	294.0	52.0	1675.0	886.0	2043.0	2414.0	8260.0	8601.0	9168.0	7493.0
Eukaryota:plas;Excavata:plas;Discoba:plas;Euglenozoa:plas	50.0	10.0	91.0	50.0	258.0	123.0	25.0	3.0	12.0	0.0	5.0
Bacteria;Terrabacteria;Actinobacteria;Actinobacteria_X	6527.0	7461.0	6719.0	11848.0	8976.0	7354.0	6563.0	11316.0	13955.0	11857.0	12179.0
Bacteria;CMS;Cyanobacteria;Cyanobacteria_X	9526.0	11114.0	6757.0	11887.0	14658.0	12125.0	11539.0	6589.0	6336.0	6849.0	6465.0
Eukaryota:plas;Cryptista:plas;Cryptophyta:plas;Cryptophyta_X:plas	547.0	62.0	219.0	1145.0	346.0	715.0	649.0	11.0	45.0	4.0	86.0
Eukaryota;;;	8.0	32.0	21.0	141.0	15.0	204.0	113.0	80.0	82.0	125.0	85.0
Eukaryota;TSAR;Alveolata;Ciliophora	6.0	13.0	0.0	20.0	85.0	7.0	0.0	0.0	7.0	0.0	5.0
Bacteria;CCD;Chloroflexi;Chloroflexi_X	334.0	189.0	298.0	405.0	126.0	345.0	250.0	455.0	384.0	431.0	357.0
Eukaryota:mito;Archaeplastida:mito;Streptophyta:mito;Streptophyta_X:mito	0.0	0.0	2.0	93.0	53.0	49.0	13.0	0.0	13.0	0.0	0.0
Eukaryota:plas;TSAR:plas;Stramenopiles:plas;Gyrista:plas	1470.0	793.0	1059.0	3475.0	1267.0	4664.0	4161.0	1836.0	2025.0	1450.0	1398.0
Bacteria;PANNAM;;	25.0	31.0	44.0	205.0	50.0	249.0	170.0	184.0	235.0	356.0	15.0
Bacteria;DST;Deinococcus_Thermus;Deinococcus_Thermus_X	0.0	0.0	0.0	10.0	2.0	7.0	0.0	0.0	0.0	13.0	0.0
Bacteria;PANNAM;Acidobacteria;Acidobacteria_X	0.0	10.0	17.0	51.0	20.0	72.0	55.0	72.0	110.0	113.0	87.0
Bacteria;PVC;Kiritimatiellaeota;Kiritimatiellaeota_X	0.0	3.0	0.0	5.0	6.0	21.0	3.0	0.0	0.0	0.0	0.0
Bacteria;Gracilicutes;Fusobacteria;Fusobacteria_X	17.0	11.0	10.0	13.0	6.0	29.0	21.0	14.0	11.0	47.0	9.0
Eukaryota:mito;;;	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	12.0	4.0	5.0
Eukaryota:mito;TSAR:mito;Stramenopiles:mito;Gyrista:mito	38.0	34.0	24.0	152.0	148.0	243.0	105.0	298.0	231.0	271.0	229.0
Bacteria;Terrabacteria;;	392.0	155.0	13.0	0.0	0.0	2.0	16.0	284.0	252.0	157.0	219.0
Bacteria;FCB;Gemmatimonadetes;Gemmatimonadetes_X	120.0	104.0	46.0	107.0	66.0	74.0	64.0	136.0	111.0	127.0	101.0
Eukaryota:plas;;;	0.0	0.0	4.0	0.0	0.0	23.0	3.0	17.0	10.0	9.0	26.0
Eukaryota:plas;Archaeplastida:plas;;	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0
Eukaryota;TSAR;Alveolata;Dinoflagellata	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;CCD;Patescibacteria;Patescibacteria_X	4.0	0.0	19.0	19.0	6.0	13.0	74.0	0.0	0.0	0.0	0.0
Bacteria;Terrabacteria;Armatimonadetes;Armatimonadetes_X	118.0	63.0	62.0	20.0	29.0	55.0	7.0	16.0	26.0	45.0	43.0
Eukaryota:plas;TSAR:plas;Alveolata:plas;Dinoflagellata:plas	0.0	0.0	0.0	82.0	4.0	43.0	13.0	2.0	0.0	3.0	0.0
Bacteria;FCB;Fibrobacteres;Fibrobacteres_X	6.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota:plas;Archaeplastida:plas;Streptophyta:plas;Streptophyta_X:plas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
Bacteria;Gracilicutes;Dependentiae;Dependentiae_X	7.0	0.0	4.0	12.0	0.0	16.0	0.0	59.0	63.0	63.0	63.0
Eukaryota;Obazoa;Opisthokonta;Metazoa	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Eukaryota;Obazoa;Opisthokonta;Fungi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
Bacteria;Gracilicutes;Spirochaetes;Spirochaetes_X	0.0	13.0	0.0	65.0	14.0	17.0	25.0	13.0	15.0	10.0	27.0
Bacteria;PVC;Chlamydiae;Chlamydiae_X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
